model,is_baseline,best_params,train_r2,val_r2,val_mae,val_rmse,cv_mean_r2,cv_std_r2,train_time_sec
XGBoost,False,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.7990989586568102,0.7914304204665223,1567.1686156939545,1995.8059984107977,0.7945535052200545,0.0022065395638049155,66.46481513977051
LinearRegression,False,{},0.7937141221371903,0.7899707110959994,1572.131385140966,2002.7778137255418,0.793569034807545,0.0024519168683387765,5.221514701843262
Ridge,False,{'alpha': 1.0},0.7937141174607039,0.7899704555411292,1572.133200005063,2002.7790321733855,0.7935690520985776,0.0024514872346029196,3.0004234313964844
ElasticNet,False,"{'l1_ratio': 0.9, 'alpha': 0.01}",0.7936927424234388,0.7899327194082474,1572.3071858636204,2002.9589443410844,0.7935489864876868,0.002429869813867738,67.01508784294128
RandomForest,False,"{'n_estimators': 600, 'min_samples_leaf': 4, 'max_depth': 16}",0.891156337594502,0.7739776465725199,1605.1609571711313,2077.6315758366345,0.7753777706029453,0.0019050163004923884,6417.662400484085
Baseline (Mean),True,{},0.0,-0.00020579326501191098,3559.902497313364,4370.564396736005,,,0.0
